URL,name,title,owner_org,public_site,Owner ,notes,location,region,latitude,longitude,site_type,status,,,,ckan_version,extensions,contact_email,tag_string,language,num_datasets,num_organizations,num_groups,is_featured,topic_id
https://dados.ufrr.br,dadosufrrbr,Dados Abertos da Universidade Federal de Roraima,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://dados.ufsm.br,dadosufsmbr,UFSM Dados aberto,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://web.transparencia.pe.gov.br,webtransparenciapegovbr,Portal da Transparência – Governo de Pernambuco,Governo de Pernambuco,open,Regional government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,https://pe.gov.br,"government,has_api",PT,,,,,
https://www.dados.univasf.edu.br,wwwdadosunivasfedubr,Dados UNIVASF,,open,Academy,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,has_api,PT,,,,,
https://www.tesourotransparente.gov.br,wwwtesourotransparentegovbr,Tesouro Nacional dados abertos,Tesouro Nacional,open,Central government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,https://www.gov.br/tesouronacional/pt-br,"government,has_api",PT,,,,,
https://www.transparencia.mg.gov.br,wwwtransparenciamggovbr,Portal da Transparência é uma iniciativa do Governo do Estado de Minas Gerais,Estado de Minas Gerais,open,Regional government,,,BR,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",EN,,,,,
https://canwin-datahub.ad.umanitoba.ca/data,canwindatahubadumanitobaca,Canadian Watershed Information Network,"University of Manitoba, Centre for Earth Observation Science",open,Academy,,,CA,dataset,,Open data portal,active,active,TRUE,,,,https://umanitoba.ca,"government,has_api",EN,,,,,
https://data.ontario.ca,dataontarioca,Ontario Data Catalogue,Government of Ontario,open,Regional government,,,CA,dataset,,Open data portal,active,active,TRUE,,,,https://ontario.ca,"government,has_api",EN,,,,,
https://data.open.guelph.ca,dataopenguelphca,Guelph Open Data Portal,City of Guelph,open,Local government,,,CA,dataset,,Open data portal,active,active,TRUE,,,,https://guelph.ca,has_api,EN,,,,,
https://data.surrey.ca,datasurreyca,Surrey Open Data,City of Surrey,open,Local government,,,CA,dataset,,Open data portal,active,active,TRUE,,,,https://surrey.ca,government,EN,,,,,
https://data.trca.ca,datatrcaca,Toronto and Region Conservation Authority (TRCA) open data,Toronto and Region Conservation Authority (TRCA),open,Local government,,,CA,dataset,,Open data portal,active,active,TRUE,,,,https://www.trca.ca,"government,has_api",EN,,,,,
https://open.canada.ca,opencanadaca,Open Government Portal,Government of Canada,open,Central government,,,CA,dataset,,Open data portal,active,active,TRUE,,,,https://canada.ca,"government,has_api",EN,,,,,
http://opencaribbean.org,opencaribbeanorg,openCARIBBEAN,Caribbean Open Institute,open,Civil society,,,Caribbean,dataset,,Open data portal,active,active,TRUE,,,,https://caribbeanopeninstitute.org,has_api,EN,,,,,
https://datosretc.mma.gob.cl,datosretcmmagobcl,El Registro de Emisiones y Transferencias de Contaminantes (RETC),Ministerio del Medio Ambiente,open,Central government,,,CL,dataset,,Open data portal,active,active,TRUE,,,,https://mma.gob.cl,"government,has_api",ES,,,,,
https://datosabiertos.bogota.gov.co,datosabiertosbogotagovco,Datos Abiertos Bogotá,City of Bogota,open,Local government,,,CO,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",ES,,,,,
https://datos.cali.gov.co,datoscaligovco,Datos Abiertos Cali,City of Cali,open,Local government,,,CO,dataset,,Open data portal,active,active,TRUE,,,,,"government,has_api",ES,,,,,
http://data.mmr.cz,datammrcz,The Ministry of Regional Development of the Czech Republic open data portal,The Ministry of Regional Development of the Czech Republic,open,Central government,,,CZ,dataset,,Open data portal,active,active,TRUE,,,,https://www.mmr.cz,"government,has_api",CZ,,,,,
https://opendata.mzcr.cz,opendatamzcrcz,Katalog otev?ených dat Ministerstvo zdravotnictví ?eské republiky,Ministerstvo zdravotnictví ?eské republiky,open,Central government,,,CZ,dataset,,Open data portal,active,active,TRUE,,,,https://mzcr.cz,"government,has_api",CZ,,,,,
https://opendata.mzp.cz,opendatamzpcz,Otev?ená data resortu životního prost?edí,Ministerstvo životního prost?edí,open,Central government,,,CZ,dataset,,Open data portal,active,active,TRUE,,,,https://www.mzp.cz,"government,has_api",CZ,,,,,
https://ckan.geonet-mrn.de,ckangeonetmrnde,GeoNet-MRN,Metropolregion Rhein-Neckar,open,Local government,,,DE,dataset,,Open data portal,active,active,TRUE,,,,,has_api,DE,,,,,
